M sat unsat walkunsat unconverged unknown
0 50 0 0 0 0
300 50 0 0 0 0
600 50 0 0 0 0
900 50 0 0 0 0
1200 50 0 0 0 0
1500 50 0 0 0 0
1800 50 0 0 0 0
2100 50 0 0 0 0
2400 50 0 0 0 0
2700 50 0 0 0 0
3000 50 0 0 0 0
3300 50 0 0 0 0
3600 50 0 0 0 0
3900 50 0 0 0 0
4200 50 0 0 0 0
4500 50 0 0 0 0
4800 50 0 0 0 0
5100 50 0 0 0 0
5400 50 0 0 0 0
5700 50 0 0 0 0
6000 50 0 0 0 0
6300 50 0 0 0 0
6600 50 0 0 0 0
6900 50 0 0 0 0
7200 50 0 0 0 0
7500 50 0 0 0 0
7800 50 0 0 0 0
8100 50 0 0 0 0
8400 50 0 0 0 0
8700 50 0 0 0 0
9000 50 0 0 0 0
9300 50 0 0 0 0
9600 50 0 0 0 0
9900 50 0 0 0 0
10200 50 0 0 0 0
10500 50 0 0 0 0
10800 50 0 0 0 0
11100 50 0 0 0 0
11400 50 0 0 0 0
11700 50 0 0 0 0
12000 46 0 0 0 4
12300 38 0 0 1 11
12600 16 0 0 25 9
12900 0 0 0 50 0
13200 0 0 0 50 0
13500 0 0 0 50 0
13800 0 0 0 50 0
14100 0 0 0 50 0
14400 0 0 0 50 0
14700 0 0 0 50 0
15000 0 0 0 50 0
