M sat unsat unknown
0 1000 0 0
30 1000 0 0
60 1000 0 0
90 1000 0 0
120 1000 0 0
150 1000 0 0
180 1000 0 0
210 1000 0 0
240 1000 0 0
270 1000 0 0
300 1000 0 0
330 1000 0 0
360 1000 0 0
390 1000 0 0
420 1000 0 0
450 1000 0 0
480 1000 0 0
510 1000 0 0
540 1000 0 0
570 1000 0 0
600 1000 0 0
630 1000 0 0
660 1000 0 0
690 1000 0 0
720 1000 0 0
750 1000 0 0
780 1000 0 0
810 1000 0 0
840 1000 0 0
870 1000 0 0
900 1000 0 0
930 1000 0 0
960 1000 0 0
990 1000 0 0
1020 995 0 5
1050 961 0 39
1080 890 0 110
1110 761 0 239
1140 574 0 426
1170 403 0 597
1200 232 0 768
1230 96 0 904
1260 39 0 961
1290 12 0 988
1320 0 0 1000
1350 1 0 999
1380 0 0 1000
1410 0 0 1000
1440 0 0 1000
1470 0 0 1000
1500 0 0 1000
1530 0 0 1000
1560 0 0 1000
1590 0 0 1000
1620 0 0 1000
1650 0 0 1000
1680 0 0 1000
1710 0 0 1000
1740 0 0 1000
1770 0 0 1000
1800 0 0 1000
