M sat unsat unknown
0 1000 0 0
10 1000 0 0
20 1000 0 0
30 1000 0 0
40 1000 0 0
50 1000 0 0
60 1000 0 0
70 1000 0 0
80 1000 0 0
90 1000 0 0
100 1000 0 0
110 1000 0 0
120 1000 0 0
130 1000 0 0
140 1000 0 0
150 1000 0 0
160 1000 0 0
170 1000 0 0
180 1000 0 0
190 1000 0 0
200 1000 0 0
210 1000 0 0
220 1000 0 0
230 1000 0 0
240 1000 0 0
250 1000 0 0
260 1000 0 0
270 1000 0 0
280 1000 0 0
290 1000 0 0
300 1000 0 0
310 998 0 2
320 993 0 7
330 982 0 18
340 956 0 44
350 909 0 91
360 856 0 144
370 780 0 220
380 654 0 346
390 539 0 461
400 421 0 579
410 324 0 676
420 214 0 786
430 159 0 841
440 88 0 912
450 59 0 941
460 36 0 964
470 24 0 976
480 11 0 989
490 6 0 994
500 2 0 998
510 2 0 998
520 4 0 996
530 0 0 1000
540 0 0 1000
550 0 0 1000
560 0 0 1000
570 0 0 1000
580 0 0 1000
590 0 0 1000
600 0 0 1000
